id;foerderung;investitionsort;traeger_unternehmen;plz;strasse_nr;bewilligungsjahr;foerderbereich;projektbezeichnung;bewilligungssumme;rss_titel
1071;Unternehmensförderung;Reinickendorf;"Kaluza + Schmid GmbH";13407;"Flottenstr. 50-53";2018;Werbeagenturen;"Erweiterung einer Betriebsstätte";40810;"Erweiterung einer Betriebsstätte"
816;Unternehmensförderung;"Nicht zugeordnet";"Hruby Werbetechnik GmbH";12681;"Meeraner Str.";2019;Drucken;"Errichtung einer Betriebsstätte";247500;"Errichtung einer Betriebsstätte"
1584;Unternehmensförderung;Pankow;"Interautomation Deutschland GmbH";13158;"Hauptstr. 56-60";2017;"Herstellung elektronischer Messinstrumstrumente";"Erweiterung einer Betriebsstätte";180000;"Erweiterung einer Betriebsstätte"
561;Unternehmensförderung;Friedrichshain-Kreuzberg;"LiveEO GmbH";10969;"Gitschiner Straße 94";2019;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";27750;"Errichtung einer Betriebsstätte"
1329;Unternehmensförderung;Neukölln;"Katz Biotech AG";12347;"Gradestr. 40-42";2017;"F&E Biotechnologie";"Errichtung einer Betriebsstätte";585260;"Errichtung einer Betriebsstätte"
1074;Unternehmensförderung;Treptow-Köpenick;"OSA Opto Light GmbH";12555;"Köpenicker Str. 325";2018;"Herstellung elektronischer Bauelemente";"Erweiterung einer Betriebsstätte";600000;"Erweiterung einer Betriebsstätte"
819;Unternehmensförderung;Treptow-Köpenick;"Laser-Mikrotechnologie Dr. Kieburg GmbH";12489;"James-Franck-Str. 15";2018;"Herstellung Optik-Geräte";"Erweiterung einer Betriebsstätte";30000;"Erweiterung einer Betriebsstätte"
1587;Unternehmensförderung;Friedrichshain-Kreuzberg;"Dalia Research GmbH";10969;"Lobeckstr. 30-35";2017;Markt-/Meinungsforschung;"Erweiterung einer Betriebsstätte";930150;"Erweiterung einer Betriebsstätte"
564;Unternehmensförderung;Marzahn-Hellersdorf;"REBU Ingenieurgesellschaft für Stahlbauten und Anlagenbau GmbH";12681;"Zur Alten Börse 49";2019;"Herstellung sonstiger Maschinen";"Erweiterung einer Betriebsstätte";50400;"Erweiterung einer Betriebsstätte"
1332;Unternehmensförderung;Marzahn-Hellersdorf;"iNTEQ Informationstechnik GmbH";12623;"Landsberger Str. 247";2018;"Installation Maschinen/Ausrüstung";"Erweiterung einer Betriebsstätte";90000;"Erweiterung einer Betriebsstätte"
1077;Unternehmensförderung;Spandau;"Innofixx Fertigungstechnik GmbH Herstellung und Handel";13599;"Zitadellenweg 68";2018;Mechanik;"Erweiterung einer Betriebsstätte";300000;"Erweiterung einer Betriebsstätte"
822;Unternehmensförderung;Charlottenburg-Wilmersdorf;"T-Shirt Druck Berlin GmbH";10587;"Salzufer 13/14";2019;Textilienveredelung;"Errichtung einer Betriebsstätte";15060;"Errichtung einer Betriebsstätte"
1590;Unternehmensförderung;Treptow-Köpenick;"effexx Berlin GmbH";12489;"Rudower Chaussee 29";2018;IT-Beratung;"Errichtung einer Betriebsstätte";258410;"Errichtung einer Betriebsstätte"
567;Unternehmensförderung;Friedrichshain-Kreuzberg;"Lana Labs GmbH";10997;"Muskauer Straße 43";2019;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";2624760;"Errichtung einer Betriebsstätte"
1335;Unternehmensförderung;Mitte;"H. I. S. Herzberg GmbH";10553;"Kaiserin-Augusta-Allee 8";2017;Metallwarenherstellung;"Erweiterung einer Betriebsstätte";299680;"Erweiterung einer Betriebsstätte"
1080;Unternehmensförderung;Charlottenburg-Wilmersdorf;"Carl Zeiss Meditec AG";10589;"Max-Dohrn-Str. 8-10";2018;"Herstellung medizinischer Apparate";"Diversifizierung der Produktion";700000;"Diversifizierung der Produktion"
825;Unternehmensförderung;Friedrichshain-Kreuzberg;"camunda services GmbH";10961;"Zossener Str. 55-58";2018;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";5040000;"Erweiterung einer Betriebsstätte"
1593;Unternehmensförderung;Treptow-Köpenick;"Oxygen Sound Studios GmbH";12435;"Bouchéstr. 12";2017;Tonstudios/u.a.;"Erweiterung einer Betriebsstätte";44700;"Erweiterung einer Betriebsstätte"
570;Unternehmensförderung;Lichtenberg;"Crassus GmbH & Co. KG";10365;"Josef-Orlopp-Str. 37";2019;"Herstellung sonstiger Gummiwaren";"Erweiterung einer Betriebsstätte";42600;"Erweiterung einer Betriebsstätte"
1338;Unternehmensförderung;Pankow;"Otto Bock Mobility Solutions GmbH";10405;"Prenzlauer Allee 242";2017;"Sonstige F&E Medizin u.a.";"Errichtung einer Betriebsstätte";290000;"Errichtung einer Betriebsstätte"
1083;Unternehmensförderung;Steglitz-Zehlendorf;"WH Münzprüfer Dietmar Trenner Gesellschaft mit beschränkter Haftung";14167;"Teltower Damm 276";2018;"Herstellung elektektrischer Instrumente";"Erweiterung einer Betriebsstätte";132300;"Erweiterung einer Betriebsstätte"
828;Unternehmensförderung;Pankow;"KUGU Home GmbH";10405;"Straßburger Str. 9F";2019;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";600000;"Errichtung einer Betriebsstätte"
1596;Unternehmensförderung;Mitte;"Redbubble Europe GmbH";10178;"Neue Schönhauser Str. 3-5";2017;"Sonstiger Versand/I-Net-EH";"Errichtung einer Betriebsstätte";81630;"Errichtung einer Betriebsstätte"
573;Unternehmensförderung;Treptow-Köpenick;"Next Dynamics GmbH";12489;"Franz-Ehrlich-Str. 12";2019;"Herstellung sonstiger elelktronischer Geräte";"Erweiterung einer Betriebsstätte";510000;"Erweiterung einer Betriebsstätte"
1341;Unternehmensförderung;Pankow;"Onefootball GmbH";10405;"Greifswalder Str. 212";2017;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";2156550;"Erweiterung einer Betriebsstätte"
1086;Unternehmensförderung;Mitte;"Model Engineering Solutions GmbH";10551;"Waldenserstr. 2-4";2019;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";353730;"Erweiterung einer Betriebsstätte"
831;Unternehmensförderung;Pankow;"Generation Yes Onlinehandel GmbH";13088;"Berliner Allee 150";2018;"Sonstiger Versand/I-Net-EH";"Erweiterung einer Betriebsstätte";105000;"Erweiterung einer Betriebsstätte"
1599;Unternehmensförderung;Spandau;"Barfer's Wellfood GmbH";13587;"Rauchstr. 20";2017;"Herstellung sonstiges Futter";"Errichtung einer Betriebsstätte";15670;"Errichtung einer Betriebsstätte"
576;Unternehmensförderung;Treptow-Köpenick;"Jonas & Redmann Group GmbH";12487;"Segelfliegerdamm 67";2019;"Herstellung sonstiger Maschinen";"Errichtung einer Betriebsstätte";2950000;"Errichtung einer Betriebsstätte"
1344;Unternehmensförderung;Charlottenburg-Wilmersdorf;"Blue Byte GmbH";10623;"Hardenbergstr. 32";2018;PC-Spiele-Verlag;"Errichtung einer Betriebsstätte";1584070;"Errichtung einer Betriebsstätte"
1089;Unternehmensförderung;Mitte;"KWS Berlin GmbH";10117;"Potsdamer Platz 8";2018;"Sonstiges Verwaltungs-Unternehmen";"Errichtung einer Betriebsstätte";4290000;"Errichtung einer Betriebsstätte"
834;Unternehmensförderung;Spandau;"Boschen & Oetting Automatisierungs- Bau GmbH";13629;"Wohlrabedamm 11";2019;"Herstellung Maschinen sonstiges";"Erweiterung einer Betriebsstätte";459200;"Erweiterung einer Betriebsstätte"
1602;Unternehmensförderung;Tempelhof-Schöneberg;"Barfer's Wellfood GmbH";12277;"Großbeerenstr. 172";2017;"Herstellung sonstiges Futter";"Erweiterung einer Betriebsstätte";739500;"Erweiterung einer Betriebsstätte"
