id;branche;geltungsbereich;persoenlich;ausbildungsjahr;entgelt;ab;hinweise
1644;Ziegelindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";1.;838;2021-01-01;
1647;Ziegelindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";2.;960;2021-01-01;
1650;Ziegelindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";3.;1049;2021-01-01;
1653;Ziegelindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";4.;1123;2021-01-01;
1656;Ziegelindustrie;Berlin-West;;;;1970-01-01;"keine tarifvertraglichen Regelungen"
1659;Zigarettenindustrie;deutschlandweit;"alle Auszubildenden";1.;971;2020-06-01;
1662;Zigarettenindustrie;deutschlandweit;"alle Auszubildenden";2.;1100;2020-06-01;
1665;Zigarettenindustrie;deutschlandweit;"alle Auszubildenden";3.;1253;2020-06-01;
1668;Zigarettenindustrie;deutschlandweit;"alle Auszubildenden";4.;1402;2020-06-01;
1671;Zigarrenindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";1.;803;2021-07-01;
1674;Zigarrenindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";2.;885;2021-07-01;
1677;Zigarrenindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";3.;966;2021-07-01;
1680;Zigarrenindustrie;"neue Bundesländer einschließlich Berlin-Ost";"alle Auszubildenden";4.;1048.5;2021-07-01;
1683;Zigarrenindustrie;"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden";1.;803;2021-07-01;
1686;Zigarrenindustrie;"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden";2.;885;2021-07-01;
1689;Zigarrenindustrie;"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden";3.;966;2021-07-01;
1692;Zigarrenindustrie;"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden";4.;1048.5;2021-07-01;
1695;Zuckerindustrie;deutschlandweit;"alle Auszubildenden";1.;960;2021-04-01;
1698;Zuckerindustrie;deutschlandweit;"alle Auszubildenden";2.;1060;2021-04-01;
1701;Zuckerindustrie;deutschlandweit;"alle Auszubildenden";3.;1155;2021-04-01;
1704;Zuckerindustrie;deutschlandweit;"alle Auszubildenden";4.;1243;2021-04-01;
